SIGUNGU_CD,SIGUNGU_NM,CURRENT_VISITOR,NORMAL_VISITOR,NORMAL_COMPARE,CONGESTION_SCORE,ABSOLUTE_SCORE,CONGESTION_LEVEL
47110,포항시,455507.23,437393.9980529453,4.1,54.1,41.9,보통
47111,포항시 남구,213984.02,206124.3861286816,3.8,53.8,19.3,보통
47113,포항시 북구,271845.0,256847.04637587655,5.8,55.8,24.7,보통
47130,경주시,311779.01,300952.86466234224,3.6,53.6,28.4,보통
47150,김천시,120918.36,120831.11351402524,0.1,50.1,10.6,보통
47170,안동시,166037.44,163981.23586500704,1.3,51.3,14.8,보통
47190,구미시,291159.96,287268.3353148668,1.4,51.4,26.5,보통
47210,영주시,97276.06,96667.44784186536,0.6,50.6,8.4,보통
47230,영천시,86079.42,87245.71530925666,-1.3,48.7,7.4,보통
47250,상주시,90963.31,93943.61822440394,-3.2,46.8,7.8,보통
47280,문경시,63824.14,63655.55141760168,0.3,50.3,5.3,보통
47290,경산시,207300.52,206541.4526802244,0.4,50.4,18.7,보통
47730,의성군,43967.53,46410.27465883591,-5.3,44.7,3.4,보통
47750,청송군,27568.76,29286.163304698453,-5.9,44.1,1.9,보통
47760,영양군,11804.43,12914.955629032258,-8.6,41.4,0.4,보통
47770,영덕군,58955.0,55060.05130224404,7.1,57.1,4.8,보통
47820,청도군,47817.7,49214.44586325386,-2.8,47.2,3.8,보통
47830,고령군,28930.57,31062.99414551192,-6.9,43.1,2.0,보통
47840,성주군,43697.8,45207.26850455821,-3.3,46.7,3.4,보통
47850,칠곡군,106691.06,107674.16061851331,-0.9,49.1,9.3,보통
47900,예천군,48188.42,48776.0757275596,-1.2,48.8,3.8,보통
47920,봉화군,21446.44,22615.71042531557,-5.2,44.8,1.3,보통
47930,울진군,60051.49,57165.193673211776,5.0,55.0,4.9,보통
47940,울릉군,7329.84,8574.968037868162,-14.5,35.5,0.0,여유
48120,창원시,880554.68,851448.6095497897,3.4,53.4,81.6,보통
48121,창원시 의창구,222210.44,214870.00427173916,3.4,53.4,20.1,보통
48123,창원시 성산구,246061.11,240973.16851367464,2.1,52.1,22.3,보통
48125,창원시 마산합포구,180490.33,175422.34772545582,2.9,52.9,16.2,보통
48127,창원시 마산회원구,161383.94,146915.35280575036,9.8,59.8,14.4,보통
48129,창원시 진해구,140350.44,135203.7116837307,3.8,53.8,12.4,보통
48170,진주시,234874.96,230811.2522289621,1.8,51.8,21.3,보통
48220,통영시,134367.01,123304.60259046283,9.0,59.0,11.9,보통
48240,사천시,101943.21,101505.76461886396,0.4,50.4,8.8,보통
48250,김해시,431078.06,418782.5036420056,2.9,52.9,39.6,보통
48270,밀양시,104488.39,106043.35823106593,-1.5,48.5,9.1,보통
48310,거제시,306700.88,294891.3887664797,4.0,54.0,28.0,보통
48330,양산시,300369.4,291691.5401097476,3.0,53.0,27.4,보통
48720,의령군,25997.45,27403.6868197756,-5.1,44.9,1.7,보통
48730,함안군,60377.96,62904.42156065919,-4.0,46.0,5.0,보통
48740,창녕군,57417.49,59077.64357082749,-2.8,47.2,4.7,보통
48820,고성군,52333.83,56070.35449333801,-6.7,43.3,4.2,보통
48840,남해군,52144.03,49336.2735,5.7,55.7,4.2,보통
48850,하동군,34928.65,36229.96546528752,-3.6,46.4,2.6,보통
48860,산청군,31333.26,34488.52444530154,-9.1,40.9,2.2,보통
48870,함양군,46303.03,46957.1266171108,-1.4,48.6,3.6,보통
48880,거창군,55812.99,55932.10491129033,-0.2,49.8,4.5,보통
48890,합천군,38630.73,40099.789911290325,-3.7,46.3,2.9,보통
50110,제주시,658666.64,629632.491306101,4.6,54.6,60.8,보통
50130,서귀포시,273390.79,271879.47689446004,0.6,50.6,24.9,보통
51110,춘천시,298712.22,304491.7061697055,-1.9,48.1,27.2,보통
51130,원주시,329111.4,336087.7672429873,-2.1,47.9,30.1,보통
51150,강릉시,291535.56,277927.31307293125,4.9,54.9,26.5,보통
51170,동해시,105167.99,100669.9184877279,4.5,54.5,9.1,보통
51190,태백시,50673.58,49872.51828506311,1.6,51.6,4.0,보통
51210,속초시,155567.95,140629.89038674615,10.6,60.6,13.8,혼잡
51230,삼척시,75178.77,75225.5217331697,-0.1,49.9,6.3,보통
51720,홍천군,101873.23,101410.9706237728,0.5,50.5,8.8,보통
51730,횡성군,49838.58,55296.726336255255,-9.9,40.1,4.0,보통
51750,영월군,32779.33,35213.26159431978,-6.9,43.1,2.4,보통
51760,평창군,93445.83,85281.92773352034,9.6,59.6,8.0,보통
51770,정선군,58058.86,54891.84481065919,5.8,55.8,4.7,보통
51780,철원군,41276.37,43570.746537868166,-5.3,44.7,3.2,보통
51790,화천군,33205.06,29865.35369775596,11.2,61.2,2.4,혼잡
51800,양구군,22386.54,23498.084565918656,-4.7,45.3,1.4,보통
51810,인제군,38529.7,42079.30675666199,-8.4,41.6,2.9,보통
51820,고성군,58434.63,54307.60465007013,7.6,57.6,4.8,보통
51830,양양군,66830.13,65194.29064656381,2.5,52.5,5.6,보통
52110,전주시,597420.2,570899.4536048387,4.6,54.6,55.1,보통
52111,전주시 완산구,332577.8,312125.58142215986,6.6,56.6,30.4,보통
52113,전주시 덕진구,299877.18,287381.150727209,4.3,54.3,27.3,보통
52130,군산시,267707.39,264503.0828183731,1.2,51.2,24.3,보통
52140,익산시,274770.05,270780.2266739131,1.5,51.5,25.0,보통
52180,정읍시,91313.93,91082.10050806453,0.3,50.3,7.8,보통
52190,남원시,79834.46,78696.45573001403,1.4,51.4,6.8,보통
52210,김제시,72754.64,74062.51162026648,-1.8,48.2,6.1,보통
52710,완주군,92757.64,99924.81733204768,-7.2,42.8,8.0,보통
52720,진안군,18352.12,20286.04656346424,-9.5,40.5,1.0,보통
52730,무주군,52398.49,43500.817936535765,20.5,70.5,4.2,혼잡
52740,장수군,15259.19,16520.201365708275,-7.6,42.4,0.7,보통
52750,임실군,29444.84,31934.60696879383,-7.8,42.2,2.1,보통
52770,순창군,19923.84,22256.913971248247,-10.5,39.5,1.2,여유
52790,고창군,52250.7,54021.9001858345,-3.3,46.7,4.2,보통
52800,부안군,61116.75,59939.55178295933,2.0,52.0,5.0,보통
