SIGUNGU_CD,SIGUNGU_NM,CURRENT_VISITOR,NORMAL_VISITOR,NORMAL_COMPARE,CONGESTION_SCORE,ABSOLUTE_SCORE,CONGESTION_LEVEL,AREA_KM2,CURRENT_DENSITY,NORMAL_DENSITY,DENSITY_SCORE
46770,고흥군,48904.13,47470.89222545582,3.0,53.0,3.9,보통,814.8405111692867,60.01681228369848,58.25789412131172,16.763841399860986
46780,보성군,38976.23,39745.25453436185,-1.9,48.1,3.0,보통,665.8537495319995,58.53572203715118,59.69066715070255,16.464486240183767
46790,화순군,73120.18,73155.0522962833,-0.0,50.0,6.1,보통,787.5497882943707,92.8451522517191,92.8894317332219,22.0082862058962
46800,장흥군,40477.55,40512.84508555399,-0.1,49.9,3.1,보통,621.9894501734638,65.07755073452034,65.13429620752498,17.734523473788936
46810,강진군,36480.09,37040.50651086956,-1.5,48.5,2.7,보통,501.4618730620546,72.74748482320943,73.86505036702141,19.072358521956012
46820,해남군,60564.7,60036.55946914446,0.9,50.9,5.0,보통,1047.4909609302986,57.8188282848868,57.3146324965179,16.316903739283433
46830,영암군,58497.31,61547.215824333805,-5.0,45.0,4.8,보통,611.2174135513061,95.70622286449252,100.69610986167932,22.374141081242957
46840,무안군,108003.95,106542.36084852734,1.4,51.4,9.4,보통,456.66797294144783,236.50432348985385,233.30377245918183,33.320046900575626
46860,함평군,25272.08,26790.313816970545,-5.7,44.3,1.7,보통,389.67393768613033,64.85442713994344,68.75059177950277,17.693317938813962
46870,영광군,49196.34,51358.35374053296,-4.2,45.8,3.9,보통,480.0781966084737,102.47568072774176,106.97914236338066,23.198382476305863
46880,장성군,43002.13,48233.33720511921,-10.8,39.2,3.3,여유,517.6834479897057,83.06645724716142,93.17148808296136,20.667763294314206
46890,완도군,55821.76,53817.46725561009,3.7,53.7,4.5,보통,408.5308234227514,136.64026506571608,131.73416586958308,26.674080068611605
46900,진도군,33793.65,33488.16388253857,0.9,50.9,2.5,보통,451.67007182554585,74.81932522873143,74.14297730019429,19.40988555841909
46910,신안군,35721.64,40979.15542496493,-12.8,37.2,2.7,여유,678.906455743795,52.61643883009501,60.360532851420686,15.188744924839535
47110,포항시,455507.23,437393.9980529453,4.1,54.1,41.9,보통,1133.2381461505709,401.9519035317381,385.96829760690895,39.75999938928611
47111,포항시 남구,213984.02,206124.3861286816,3.8,53.8,19.3,보통,396.40297480313416,539.8143646784462,519.9869810034833,43.344752882593
47113,포항시 북구,271845.0,256847.04637587653,5.8,55.8,24.7,보통,736.8351713474367,368.9359718034118,348.5814146278945,38.71856681626005
47130,경주시,311779.01,300952.86466234224,3.6,53.6,28.4,보통,1320.0987502322278,236.1785509948804,227.9775392631797,33.30332557754609
47150,김천시,120918.36,120831.11351402524,0.1,50.1,10.6,보통,1004.566684689356,120.3686742183689,120.28182434836576,25.14141486244481
47170,안동시,166037.44,163981.23586500704,1.3,51.3,14.8,보통,1526.735136884247,108.7532709431502,107.40647274265208,23.915899205453012
47190,구미시,291159.96,287268.3353148668,1.4,51.4,26.5,보통,613.2591441891927,474.7747551077299,468.42894726775313,41.783814375932415
47210,영주시,97276.06,96667.44784186536,0.6,50.6,8.4,보통,672.5376108188168,144.64032707637878,143.73537819568546,27.362338825761483
47230,영천시,86079.42,87245.71530925666,-1.3,48.7,7.4,보통,915.0595840749064,94.06974310533376,95.34429978946022,22.166225652029993
